Charging Station Location,charging_date,charging_hour,Charger Type,sessions,unique_users,total_energy_kwh,avg_soc_start,avg_soc_end,avg_distance_since_last_charge_km,peak_hour_flag
Chicago,2024-01-01,9,DC Fast Charger,1,1,78.86860745126785,27.399454625609152,70.05338137780706,54.00630919992556,1
Chicago,2024-01-01,17,Level 2,1,1,23.824040473705303,57.59519511951953,74.96195034708379,22.00682916343814,1
Chicago,2024-01-01,22,DC Fast Charger,1,1,49.19642958971384,49.02423910950519,64.48187393759193,298.18812231836336,0
Chicago,2024-01-02,5,DC Fast Charger,1,1,56.59325685914933,29.207671702279008,85.00810624066354,186.15573210131024,0
Chicago,2024-01-02,7,Level 1,1,1,38.28919933554271,75.6447784790562,65.61730718592959,238.9093109631085,1
Chicago,2024-01-02,12,DC Fast Charger,1,1,39.940563619980615,85.85755579960261,50.403654740892144,102.43030218211146,0
Chicago,2024-01-02,23,Level 2,1,1,30.71093402710381,76.12005335845825,76.68243090588436,18.93451548845076,0
Chicago,2024-01-03,4,Level 2,1,1,65.98624912728606,17.38966714207173,73.4380396237612,234.9966615729484,0
Chicago,2024-01-03,10,DC Fast Charger,1,1,21.89299267514347,80.22553380560572,64.66736188293022,148.41561166314776,1
Chicago,2024-01-03,13,DC Fast Charger,1,1,62.723162291274086,82.84418006572773,72.83328568716698,282.9423217735824,0
Chicago,2024-01-04,0,DC Fast Charger,1,1,22.88203842151127,15.67448546968074,96.59770241767578,98.47402709278698,0
Chicago,2024-01-04,10,Level 1,1,1,41.60783353260332,54.997649082294174,97.26161624347915,94.645250164602,1
Chicago,2024-01-04,13,Level 1,1,1,21.65616411567424,78.43462826424621,97.7254403635819,170.55772537142218,0
Chicago,2024-01-04,23,Level 1,1,1,42.69140537961698,48.32735368393833,85.0674221187275,152.25986699080715,0
Chicago,2024-01-05,6,Level 2,1,1,46.77551047348464,77.52375722942914,56.731410370149234,246.2228512697588,0
Chicago,2024-01-05,10,DC Fast Charger,1,1,6.503953233800639,67.51829977415198,57.34995235816769,204.7682813822981,1
Chicago,2024-01-05,15,Level 2,1,1,7.358446629421065,77.48990308717126,71.62801502596717,166.67396698644544,0
Chicago,2024-01-05,22,DC Fast Charger,1,1,17.704737472368393,47.80623479100282,79.3715143442941,258.64567065665085,0
Chicago,2024-01-06,2,DC Fast Charger,1,1,24.84871287490711,60.66782801513298,53.92638457958917,260.7073136359905,0
Chicago,2024-01-06,3,Level 1,1,1,7.515940355911836,61.762801965366975,83.20780147452034,126.5918374849966,0
Chicago,2024-01-06,15,Level 2,1,1,48.48756787108178,35.889037420116495,90.8523127201585,103.91165064214256,0
Chicago,2024-01-06,22,Level 1,1,1,48.28787199679972,61.8669056122019,92.68815020624268,208.7545777010332,0
Chicago,2024-01-07,14,DC Fast Charger,1,1,42.69140537961698,45.19283551297715,52.93614671871657,56.90417362243817,0
Chicago,2024-01-07,23,Level 2,1,1,67.89119052685948,64.31430157283006,77.58261619096179,32.89268076447516,0
Chicago,2024-01-08,0,DC Fast Charger,1,1,22.742594390832505,76.22513954753002,85.77858051012342,280.9779275184948,0
Chicago,2024-01-08,5,Level 1,1,1,47.82436784944839,61.57804690727161,97.96189523417006,90.11434022451289,0
Chicago,2024-01-08,18,Level 2,1,1,72.2378188219246,83.20627214536134,83.20544452415145,131.28616502411475,1
Chicago,2024-01-08,19,Level 2,1,1,36.15792621947456,12.666303598100477,86.88327763624466,87.12429821035957,1
Chicago,2024-01-09,0,Level 1,1,1,55.97943470013186,2.3259589947386745,71.03902179038346,67.87474828378124,0
Chicago,2024-01-09,12,Level 2,1,1,17.854873424356434,43.82063366672827,58.45469784758049,268.9717585141519,0
Chicago,2024-01-10,0,DC Fast Charger,1,1,67.9228322505551,63.5820676829891,89.93768114083636,157.0245513686409,0
Chicago,2024-01-10,2,Level 1,1,1,50.643736597993126,31.570698858788976,70.648329638232,195.0011483657776,0
Chicago,2024-01-10,3,DC Fast Charger,1,1,52.05474164868848,74.86887756150331,64.3699636659729,153.9736061677818,0
Chicago,2024-01-10,10,Level 2,1,1,65.24475504703462,27.08090944968201,55.747611123683306,95.656561543192,1
Chicago,2024-01-10,15,DC Fast Charger,1,1,33.365508790480845,26.84932307942894,99.63756366259756,244.0527884423648,0
Chicago,2024-01-10,22,Level 1,1,1,42.69140537961698,32.64110424647579,60.21991718310399,111.1895587063957,0
Chicago,2024-01-10,23,DC Fast Charger,1,1,31.877190174337137,68.8236838416409,92.8371241203629,249.7635288631293,0
Chicago,2024-01-11,9,DC Fast Charger,1,1,44.78548903983442,20.08304245350331,76.26295568732958,283.9026933704645,1
Chicago,2024-01-11,23,DC Fast Charger,1,1,7.424244899456774,61.36425981247116,59.94103454253771,152.25986699080715,0
