station_key,Charging Station ID,Charging Station Location,Vehicle Model,Charger Type,User Type,weather_condition,traffic_level,charging_hour,charging_month,is_weekend,is_peak_hour,Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Battery Capacity (kWh),State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),temperature_c,humidity_percent,precipitation_mm,wind_speed_kph,traffic_score,road_congestion_index,nearby_events_count,station_occupancy_percent,estimated_waiting_time_minutes,overload_risk
Station_391_Houston,Station_391,Houston,BMW i3,DC Fast Charger,Commuter,Light Rain,Low,0,1,0,0,60.71234573492677,0.5913634253585007,36.3891805669814,108.46300741284072,29.371575979140047,86.11996244457839,293.6021106383279,3.1,83,0.9,9.0,30,0.28,0,53.09,24.39,0
Station_428_San Francisco,Station_428,San Francisco,Hyundai Kona,Level 1,Casual Driver,Clear,Moderate,1,1,0,0,12.339275203733752,3.133652052688084,30.67773493971444,100.0,10.115777641679946,84.66434362786444,112.11280368218186,5.2,53,0.0,14.9,41,0.39,1,70.33,31.12,0
Station_181_San Francisco,Station_181,San Francisco,Chevy Bolt,Level 2,Commuter,Partly Cloudy,Low,2,1,0,0,19.12887570011548,2.4526527258367823,27.51359255877324,75.0,6.854604444398554,69.91761524016282,71.79925292594801,7.6,52,0.0,13.4,30,0.3,0,63.68,27.78,0
Station_327_Houston,Station_327,Houston,Hyundai Kona,Level 1,Long-Distance Traveler,Light Rain,Low,3,1,0,0,79.45782398845503,1.266430804620451,32.882869757386224,50.0,83.12000296074223,99.62432763119423,199.5777845163286,5.4,88,3.8,16.7,34,0.34,0,57.7,26.3,0
Station_108_Los Angeles,Station_108,Los Angeles,Hyundai Kona,Level 1,Long-Distance Traveler,Partly Cloudy,Moderate,4,1,0,0,19.62910416772725,2.0197650865894614,10.215712071204608,50.0,54.25894969116981,63.743786036169695,203.66184655799864,2.6,44,0.0,4.4,41,0.4,0,64.08,29.12,0
Station_335_San Francisco,Station_335,San Francisco,Nissan Leaf,DC Fast Charger,Long-Distance Traveler,Clear,Low,5,1,0,0,43.18113714248533,1.1676401541014236,14.33452277611833,50.0,75.21774833696946,71.98228757123687,143.68004610728445,5.0,51,0.0,10.2,18,0.18,0,53.12,23.08,0
Station_162_Houston,Station_162,Houston,Chevy Bolt,Level 2,Commuter,Clear,Moderate,6,1,0,0,36.862139988267536,3.5396190263161467,26.18518786003352,85.0,60.75178075976676,70.79609690147149,81.33800890802773,7.3,65,0.0,10.8,40,0.45,0,72.52,31.71,0
Station_302_Los Angeles,Station_302,Los Angeles,Chevy Bolt,Level 2,Long-Distance Traveler,Clear,Severe,7,1,0,1,51.46761685839947,2.6553964456130235,26.7029077655282,75.0,56.201703032995454,63.786815331776616,116.54316578116932,10.0,62,0.0,14.9,97,0.93,0,93.6,52.72,1
Station_493_Los Angeles,Station_493,Los Angeles,Chevy Bolt,Level 1,Commuter,Light Rain,Severe,8,1,0,1,43.59237228216989,1.724203599132774,14.294922926661108,62.0,33.46620026326066,92.96142090358896,208.25974249443672,7.2,64,2.7,19.1,80,0.78,0,83.88,47.74,1
Station_452_Chicago,Station_452,Chicago,Hyundai Kona,DC Fast Charger,Commuter,Clear,Severe,9,1,0,1,78.86860745126785,2.0268746909843576,11.76099971515701,50.0,27.399454625609152,70.05338137780706,54.00630919992556,-10.7,69,0.0,17.7,88,0.86,1,87.86,49.9,1
Station_206_Los Angeles,Station_206,Los Angeles,BMW i3,DC Fast Charger,Casual Driver,Partly Cloudy,Severe,10,1,0,1,18.20619747737872,2.6486354477276968,10.310701112892176,50.0,76.08656557040186,82.2655816267944,64.63464374887128,9.9,64,0.0,17.2,84,0.88,0,90.29,50.23,1
Station_78_San Francisco,Station_78,San Francisco,Chevy Bolt,DC Fast Charger,Long-Distance Traveler,Clear,High,11,1,0,0,22.564929484106763,2.0578886215204486,4.46482262892762,85.0,14.618902372078484,85.85749415419053,194.7638066817377,8.2,69,0.0,12.4,60,0.61,0,68.98,32.77,0
Station_16_San Francisco,Station_16,San Francisco,Hyundai Kona,Level 2,Casual Driver,Partly Cloudy,Moderate,12,1,0,0,34.256452908516025,3.0655847520228034,5.523688619042968,100.0,19.20544694977322,51.62648272929986,249.12759651542487,10.5,60,0.0,13.8,53,0.53,0,73.02,33.3,0
Station_327_Houston,Station_327,Houston,Nissan Leaf,Level 2,Commuter,Clear,Moderate,13,1,0,0,16.56106432522506,3.5909657181461028,19.76909871755716,75.0,25.775415389763285,69.2012290988145,159.2316102189639,15.8,65,0.0,13.3,59,0.63,0,77.45,35.37,1
Station_96_Houston,Station_96,Houston,BMW i3,Level 1,Casual Driver,Light Rain,High,14,1,0,0,12.927545290947553,3.4218093378407497,24.21115011711917,85.0,71.68354383511853,63.70663794066834,155.36060543681995,12.0,97,1.3,18.5,62,0.57,0,77.29,35.65,1
Station_147_Los Angeles,Station_147,Los Angeles,Nissan Leaf,DC Fast Charger,Long-Distance Traveler,Partly Cloudy,High,15,1,0,0,27.354317884610715,2.703286127534274,11.112498841670842,100.0,10.677153729384765,72.40347015226732,247.6594369214761,11.2,51,0.0,1.1,67,0.63,0,74.37,35.27,1
Station_2_New York,Station_2,New York,BMW i3,DC Fast Charger,Commuter,Clear,Moderate,16,1,0,0,24.726937680708804,3.4586802787724484,49.40273861566977,97.681812229825,67.59197091077596,89.94222936485875,237.3064209427689,11.7,53,0.0,17.3,55,0.56,0,75.81,34.41,0
Station_10_Chicago,Station_10,Chicago,Hyundai Kona,Level 2,Casual Driver,Clear,High,17,1,0,1,23.824040473705303,0.8482182678183041,6.614280124746195,50.0,57.59519511951953,74.96195034708379,22.00682916343814,-9.3,60,0.0,17.3,77,0.77,0,78.08,45.56,1
Station_434_New York,Station_434,New York,Tesla Model 3,Level 1,Long-Distance Traveler,Clear,Severe,18,1,0,1,42.63801819167288,0.8075321582617996,20.49084604597367,100.0,55.51705087402344,52.7134886858277,280.8620709755801,7.8,66,0.0,9.4,97,1.0,0,82.93,49.31,1
Station_125_Los Angeles,Station_125,Los Angeles,BMW i3,Level 2,Long-Distance Traveler,Clear,Severe,19,1,0,1,48.48248430757049,2.5809253540076567,45.29143534649799,50.0,12.754877571721774,116.0956568894014,243.25576946966927,7.9,55,0.0,16.5,100,1.0,0,94.11,53.22,1
Station_81_Los Angeles,Station_81,Los Angeles,Nissan Leaf,Level 2,Casual Driver,Clear,Severe,20,1,0,1,50.27906667357191,3.16887289218907,30.48996023396868,50.0,16.545512365179043,77.93632713949575,15.420444595980063,8.1,57,0.0,10.8,99,1.0,2,97.01,54.03,1
